Year,Annual Dust,Rank AnnualDust,Spring Dust,Rank SpringDust,Fall Dust,Rank FallDust,Thresholds_1,Thresholds_2,Thresholds_3,Thresholds_4
1980,3.21950804599291e-07,36,2.59313770959585e-07,33,6.26370336397064e-08,39,59,70,83,89
1981,3.4100251992443e-07,32,2.79243364603374e-07,26,6.17591553210561e-08,40,56,59,62,70
1982,2.83159078297204e-07,42,2.19677259008511e-07,39,6.34818192886931e-08,38,60,67,77,86
1983,2.48859606442886e-07,43,1.89619606141833e-07,43,5.92400003010529e-08,41,61,76,79,93
1984,2.87944312235902e-07,39,2.12378388594198e-07,40,7.55659236417044e-08,28,79,86,92,97
1985,4.39732541199223e-07,6,3.4307727488081e-07,7,9.66552663184128e-08,11,69,81,89,97
1986,4.25409385766684e-07,8,3.10595563803029e-07,14,1.14813821963655e-07,1,51,71,83,91
1987,4.47474904460149e-07,5,3.50750054375903e-07,6,9.67248500842455e-08,9,58,64,75,88
1988,3.94145019750464e-07,15,3.19096032305732e-07,12,7.50489874447313e-08,30,57,74,84,92
1989,4.87559942363713e-07,2,3.8545362208986e-07,2,1.02106320273854e-07,7,78,92,100,106
1990,3.69910643355925e-07,25,2.9287712891013e-07,23,7.70335144457956e-08,24,62,81,93,100
1991,4.18625942046752e-07,10,3.50931874046334e-07,5,6.76940680004179e-08,35,58,73,83,91
1992,1.46693719164925e-07,44,1.03108896639531e-07,44,4.35848225253943e-08,44,42,73,82,89
1993,2.86162078096119e-07,40,1.9395872840472e-07,42,9.22033496913999e-08,15,55,68,73,83
1994,3.21357940145581e-07,37,2.34121860991782e-07,37,8.72360791537991e-08,20,42,73,76,82
1995,3.63776772137683e-07,28,2.77680671123548e-07,27,8.60961010141353e-08,21,76,92,104,108
1996,5.09876574888296e-07,1,3.97563825721425e-07,1,1.12312749166871e-07,3,53,69,81,97
1997,3.89354024091237e-07,17,2.74678952076612e-07,29,1.14675072014625e-07,2,73,84,99,110
1998,3.94149746828568e-07,14,3.35170690722586e-07,10,5.89790561059816e-08,42,51,75,84,89
1999,3.86145706623639e-07,19,2.89156714766703e-07,24,9.69889918569361e-08,8,68,81,87,91
2000,3.84753075353787e-07,20,2.99324700726855e-07,19,8.54283746269321e-08,22,76,84,95,100
2001,4.72677483119577e-07,3,3.69045867747164e-07,3,1.03631615372413e-07,6,75,89,95,102
2002,4.48953116145151e-07,4,3.41501842845982e-07,9,1.07451273299169e-07,4,73,80,88,95
2003,4.09876433717093e-07,12,3.17384183351477e-07,13,9.24922503656167e-08,14,64,78,85,92
2004,3.69567610916666e-07,26,2.9298314781212e-07,21,7.65844631045454e-08,27,59,67,76,83
2005,4.20581704300288e-07,9,3.42212332304914e-07,8,7.83693719953737e-08,23,53,60,64,73
2006,3.64388750246497e-07,27,2.73687655871768e-07,30,9.07010943747288e-08,17,37,51,68,83
2007,3.87039470806094e-07,18,2.92908188065377e-07,22,9.4131282740717e-08,13,52,74,84,94
2008,3.8283273513795e-07,21,2.95273344261271e-07,20,8.75593908766792e-08,18,61,74,88,95
2009,4.18017534316306e-07,11,3.21330302838208e-07,11,9.66872314780987e-08,10,51,60,69,81
2010,3.77531847233978e-07,23,3.10359326627374e-07,15,6.71725206066037e-08,36,47,57,62,68
2011,3.92049927591676e-07,16,2.88398017557479e-07,25,1.03651910034197e-07,5,67,77,79,83
2012,3.77088077874177e-07,24,3.10183569482425e-07,16,6.69045083917519e-08,37,58,69,75,81
2013,3.46021225307996e-07,31,2.75347112464741e-07,28,7.06741128432553e-08,33,58,67,72,77
2014,3.28697210314616e-07,34,2.5188040122387e-07,36,7.68168090907462e-08,26,60,63,74,87
2015,2.88777925622555e-07,38,2.33071776135907e-07,38,5.57061494866479e-08,43,54,66,73,82
2016,2.85046589495325e-07,41,2.09549455995606e-07,41,7.5497133499719e-08,29,58,69,72,80
2017,3.61626914989477e-07,29,2.66464781864539e-07,31,9.51621331249375e-08,12,56,69,84,92
2018,3.94750892971849e-07,13,3.07331288418311e-07,17,8.74196045535375e-08,19,57,68,79,93
2019,3.49788290113923e-07,30,2.58265821076464e-07,34,9.15224690374583e-08,16,47,62,71,83
2020,3.25729439715899e-07,35,2.52592256312634e-07,35,7.31371834032657e-08,32,60,72,85,96
2021,3.78079229082159e-07,22,3.01050733501895e-07,18,7.70284955802641e-08,25,62,76,79,83
2022,4.2650095491252e-07,7,3.52439091334811e-07,4,7.40618635777096e-08,31,75,85,91,96
2023,3.34396530661876e-07,33,2.63854002299779e-07,32,7.0542528362097e-08,34,59,69,78,97
